Laptop|10000 |7 |15000 |5
Mouse|3000 |20 |5000 |20
Keyboard|7000 |11 |10000 |10
Printer|25000 |5 |30000 |3
Monitor|15000 |8 |20000 |8
Speaker|5000 |17 |8000 |15
Headset|8000 |13 |12000 |12
External HDD|11000 |6 |16000 |6
Webcam|50000 |19 |70000 |18
Graphics Card|20000 |5 |25000 |4
RAM|5000 |17 |9000 |16
SSD|13000 |7 |18000 |7
Router|8000 |9 |11000 |9	
Microphone|5000 |13 |10000 |11
Tablet|8000 |15 |13000 |14
Smartphone|25000 |7 |30000 |5
Camera|18000 |9 |22000	|7
Printer Ink|5000 |10 |15000 |9
